Run,Mean Q Nurse
0,23.181418943308387
1,9.717671794420692
2,20.5805075646637
3,7.366251105223019
4,5.629927414792793
5,30.785483326422824
6,26.318499694647027
7,29.137156611953763
8,14.597190799754523
9,24.088404978122227
10,39.08871810373567
11,35.52855439066292
12,36.256162273292446
13,5.045532303952573
14,47.45986674524114
15,25.844952832631463
16,14.841223008508974
17,50.372074284594554
18,10.699551194514726
19,40.11679378016358
20,13.995145555301766
21,10.778511998134125
22,31.52886984551204
23,27.644671843268117
24,11.683780549487082
25,28.827069637621083
26,22.70181171051375
27,5.948145199545345
28,30.39832111242751
29,33.64457507808844
30,41.29961110161515
31,6.880220238305151
32,11.155614740319258
33,32.21081398576561
34,18.14055696920264
35,34.676645440345006
36,22.263628595113087
37,16.726884283747857
38,9.549616175402743
39,28.678204410369474
40,17.095315780195648
41,16.511587862061017
42,9.65314798205327
43,8.12778273206255
44,48.473169209562286
45,24.067405103857546
46,28.372744869456884
47,20.228563070143974
48,24.784128759971594
49,12.640772135028486
50,34.335685237634635
51,24.244974348210334
52,32.737696850855265
53,41.63816181169207
54,31.276309613857833
55,12.356394761478533
56,35.45889446138806
57,18.887457374383782
58,21.869486088325228
59,26.45813668470529
60,23.8562173701541
61,9.790043168043583
62,3.361651897101869
63,22.588435672410036
64,32.97976337576498
65,11.967191463516032
66,13.02116308747502
67,14.266358527436866
68,28.99948965950754
69,6.86639707080904
70,18.112428841851905
71,10.611974268146971
72,9.57593410358879
73,42.42224211226017
74,26.4093688298959
75,19.327842614291207
76,33.03959745082443
77,34.72840562471415
78,26.85222804909419
79,18.239554352694544
80,12.663890859992916
81,30.8312763525405
82,57.617910875190915
83,44.11637376455196
84,24.85319004499487
85,11.42058932914972
86,28.49924417654839
87,30.58909700472659
88,29.72952379930797
89,10.927412928790693
90,32.14148125024094
91,7.183166496002197
92,28.731627917445653
93,53.418905867003595
94,26.833405982173534
95,39.004175521807355
96,24.97685963142482
97,37.74532778548912
98,12.783961647731301
99,21.76511633728948
